Batch,Department,Semester,CourseNo,Course Name,L,T,E,P,O,Credits,Category,Slot,Prerequisites,CourseType,Description
2024,AE,5,AS2520,Propulsion Lab,0,0,0,2,0,2,P,M2,None,Professional,
2024,AE,5,MS,Entrepreneurship,3,0,0,0,6,9,M,,None,Management,
2024,AE,5,ID1200,Ecology and Environment,2,0,0,0,0,2,G,WW,None,General,
2024,AE,5,GN1002,POSH Training-II,3,0,0,0,0,0,S,N ,GN1001- POSH Training -I,Science,
2024,AE,6,HSE1,Humanities Elective 1,3,0,0,0,6,9,H,,None,,
2024,AE,6,UA,Unallotted Credits,0,0,0,0,0,18,UA,,None,,
2024,AE,6,ASXXXX,Design Elective*,2,1,2,3,4,12,P,,None,Professional,
2024,AE,7,HSE2,Humanities Elective 2,3,0,0,0,6,9,H,,None,,
2024,AE,8,HSE3,Humanities Elective 3,3,0,0,0,6,9,H,,None,,
2024,BE,1,BT1000,Introduction to Biological Sciences & Engineering,3,0,0,0,6,9,P,A ,None,Professional,
2024,BE,1,CY1001,"Chemistry I: Structure, Bonding & Reactivity",3,1,0,0,6,10,S,C ,NIL,Science,
2024,BE,2,MAE,1 Mathematics Elective (from MA basket),3,0,0,0,6,9,S,,None,Science,
2024,BE,2,PHE,Physics Elective (from PH basket),3,0,0,0,6,9,S,,None,Science,
2024,BE,2,CY1051,Chemistry II: Introduction to Spectroscopic Methods,3,0,0,0,6,9,S,C ,CY1001,Science,
2024,BE,2,BT1020,Material and Energy Balances,2,1,0,0,6,9,P,F ,None,Professional,
2024,BE,2,CY1002,Chemistry Lab I,0,0,0,3,0,3,S,MM,COT,Science,
2024,BE,3,HSE,1 Humanities Elective 1,3,0,0,0,6,9,H,,None,,
2024,BE,3,AM1101,Engineering Mechanics,3,1,0,0,6,10,E,,None,Engineering,
2024,BE,3,BT2011,Microbiology and Biochemistry,3,0,0,0,6,9,P,B ,None,Professional,
2024,BE,3,BT2020,Numerical methods for biology,2,1,0,0,6,9,P,B ,None,Professional,
2024,BE,4,BT2041,Principles of Bioprocess Engineering,3,0,0,0,6,9,P,D ,BT1020,Professional,
2024,BE,4,BT3011,Molecular Biology and Genetic Engineering,3,0,0,0,6,9,P,B ,None,Professional,
2024,BE,4,BT2080,Programming for Biology,2,0,0,3,6,11,C,,None,Computing,
2024,BE,4,EE1101,Signals and Systems,3,1,0,0,6,10,E,E ,None,Engineering,
2024,BE,4,BT3111,Biological Engineering Laboratory 1,0,0,0,6,2,8,P,P ,None,Professional,
2024,BE,5,BT5031,Thermodynamics in Biochemical Engineering,3,1,0,0,6,10,P,D ,None,Professional,
2024,BE,5,BT5061,Cellular Engineering,3,0,0,0,6,9,P,C ,None,Professional,
2024,BE,5,BT5051,Transport Phenomena in Biological Systems,3,1,0,0,6,10,P,A ,None,Professional,
2024,BE,5,BT3040,Bioinformatics,2,0,0,3,6,11,P,G ,None,Professional,
2024,BE,5,BT3041,Analysis and Interpretation of Biological Data,2,1,0,0,6,9,P,C ,None,Professional,
2024,BE,5,BT3121,Biological Engineering Laboratory 2,0,0,0,6,2,8,P,,None,Professional,
2024,BE,6,PE1,Professional Elective 1,3,0,0,0,6,9,P,,None,Professional,
2024,BE,6,PE2,Professional Elective 2,3,0,0,0,6,9,P,,None,Professional,
2024,BE,7,BT5011,Biomaterials Engineering,3,0,0,0,6,9,P,C ,None,Professional,
2024,BE,7,BT4111,"Cell, Tissue, and Biomaterials Engineering Lab",0,0,0,6,2,8,P,,None,Professional,
2024,BE,7,PE3,Professional Elective 3,3,0,0,0,6,9,P,,None,Professional,
2024,BE,7,PE4,Professional Elective 4,3,0,0,0,6,9,P,,None,Professional,
2024,CH,1,CH1100,Fundamentals of Thermodynamics,3,1,0,0,6,10,E,A ,Nil,Engineering,
2024,CH,1,BT1010,Life Sciences,3,0,0,0,6,9,S,B ,None,Science,
2024,CH,2,MA2XXX,Mathematics (Elective Basket),3,0,0,0,6,9,S,,None,Science,
2024,CH,2,CH1020,Principles & Calculations in Chemical Engineering,3,1,0,0,6,10,P,C ,None,Professional,
2024,CH,3,CH2061,Computational Techniques,3,1,0,0,6,10,C,M ,NIL,Computing,
2024,CH,3,EE1100,Basic Electrical Engineering,3,1,0,0,6,10,E,E ,None,Engineering,
2024,CH,3,CH2010,Chemical Engineering Thermodynamics,3,1,0,0,6,10,P,C ,NIL,Professional,
2024,CH,3,CH2012,Continuum Mechanics & Transport Phenomena,3,1,0,0,6,10,P,B ,None,Professional,
2024,CH,3,CH2013,Computational Programming & Process Simulation Lab,1,0,0,2,2,5,C,R ,None,Computing,
2024,CH,3,MXXXX,Management Elective,3,0,0,0,6,9,M,,None,Management,
2024,CH,4,CH2014,Fundamentals of Heat & Mass Transfer,3,1,0,0,6,10,P,B ,None,Professional,
2024,CH,4,CH2015,Fluid and Particle Mechanics,3,1,0,0,6,10,P,D ,None,Professional,
2024,CH,4,CH2016,Thermodynamics Lab,0,0,0,3,2,5,P,P ,CH2010,Professional,
2024,CH,4,CY2010,Kinetics and Catalysis,3,0,0,0,6,9,S,E ,CY 1001,Science,
2024,CH,4,HSE/ME,Humanities Elective/Management Elective,3,0,0,0,6,9,H/M,,None,,
2024,CH,4,FE1,Free Elective 1,3,0,0,0,6,9,UA,,None,,
2024,CH,5,CH3010,Chemical Reaction Engineering,3,1,0,0,6,10,P,D ,NIL,Professional,
2024,CH,5,CH3030,Applications of Mass Transfer,3,1,0,0,6,10,P,C ,None,Professional,
2024,CH,5,CH3510,Mom Transfer & MO Lab,0,0,0,3,2,5,P,P ,Fluid Particle Mechanics,Professional,
2024,CH,5,CH3052,Material Science for Chemical Engineers,3,0,0,0,6,9,P,C ,None,Professional,
2024,CH,6,CH3521*,Heat and Mass Transfer Lab 2,1,0,0,3,2,6,P,,None,Professional,
2024,CH,6,FE2,Free Elective 2,3,0,0,0,6,9,UA,,None,,
2024,CH,6,FE3,Free Elective 3,3,0,0,0,6,9,UA,,None,,
2024,CH,6,FE4,Free Elective 4,3,0,0,0,6,9,UA,,None,,
2024,CH,6,FE5,Free Elective 5,3,0,0,0,6,9,UA,,None,,
2024,CH,7,CH3050,Process Dynamics and Control,3,1,0,0,6,10,P,B ,"Basics of differential calculus, complex number theory and linear algebra.",Professional,
2024,CH,7,CH4010,Process & Product Design,3,1,0,0,6,10,P,A ,None,Professional,
2024,CH,7,CH4030,Process Control Lab,0,0,0,3,2,5,P,P ,Process Dynamics and Control or equivalent,Professional,
2024,CH,7,FE6,Free Elective 6,3,0,0,0,6,9,P,,None,Professional,
2024,CH,8,CH4250,Process Engineering,3,1,0,0,6,10,P,R ,CH4010: Process and Product Design,Professional,
2024,CH,8,PE5,Professional Elective 5,3,0,0,0,6,9,P,,None,Professional,
2024,CH,8,PE6,Professional Elective 6,3,0,0,0,6,9,P,,None,Professional,
2024,CE,1,CE1010,Introduction to Civil Engineering,2,1,1,0,4,8,P,A1,None,Professional,
2024,CE,1,CV1050,Vector Calculus and Numerical Methods,3,1,2,0,6,12,S,B1,Nil,Science,
2024,CE,1,CV1030,Building Drawing and Visualization,1,0,0,3,2,6,E,P1,Nil,Engineering,
2024,CE,2,CV1020,Solid and Fluid Mechanics,3,1,2,0,6,12,E,A1,"Vector calculus and numerical
methods",Engineering,
2024,CE,3,CV2050,Environmental Engineering,3,1,0,2,6,12,P,D ,Nil,Professional,
2024,CE,3,CV2070,Hydraulics and Water Resources Engineering,3,1,0,2,6,12,P,B ,Solid and Fluids Mechanics,Professional,
2024,CE,3,CV2010,Structural Mechanics and Analysis,3,1,0,2,6,12,P,C ,Nil,Professional,
2024,CE,3,CV2090,Probability & Statistics for CE,3,1,0,2,6,12,S,A ,Nil,Science,
2024,CE,3,MA2103,"Probability, Stochastic Processes & Statistics",3,0,0,0,6,9,S,A ,None,Science,
2024,CE,3,CV2030,Measurement and Sensing,3,1,0,2,6,12,E,E ,Nil,Engineering,
2024,CE,4,CV2020,Construction Engineering,3,1,0,2,6,12,P,,None,Professional,
2024,CE,4,CV2040,Geotechnical Engineering,3,1,0,2,6,12,P,,None,Professional,
2024,CE,4,CV2060,Transportation Engineering,3,1,0,2,6,12,P,,None,Professional,
2024,CE,4,CV2080,Structural Engineering,3,1,0,2,6,12,P,,None,Professional,
2024,CE,4,MSXXXX,Entrepreneurship,3,1,0,0,6,9,M,,None,Management,
2024,CE,5,CV3010,Scientific Computing in Civil Engineering,3,1,0,2,6,12,C,,None,Computing,
2024,CE,5,CEXXXX,Design of CE Systems*,3,1,0,2,6,12,P,,None,Professional,
2024,CE,5,Science,"Elective (MA, PH, CY, BT)",3,0,0,0,6,9,S,,None,Science,
2024,CE,8,PE7,Professional Elective 7,3,0,0,0,6,12,P,,None,Professional,
2024,CS,1,CS1111,Problem Solving using Computers,3,0,0,3,6,12,C,F ,NIL,Computing,
2024,CS,2,CS1200,Discrete Mathematics for Computer Science,3,1,0,0,6,10,E,B ,None,Engineering,
2024,CS,3,CS2300,Foundations of Computer Systems Design,3,0,0,0,6,9,P,C ,NIL,Professional,
2024,CS,3,CS2310,Foundations of Computer Systems Design Lab,0,0,0,3,1,4,P,Q ,CS1200,Professional,
2024,CS,3,CS2700,Programming and Data Structures,3,1,0,0,6,10,P,B ,"CS1100, CS1200",Professional,
2024,CS,3,CS2710,Programming and Data Structures Lab,0,0,0,3,3,6,P,R ,"CS1100, CS1200",Professional,
2024,CS,3,CSXXXX,Introduction to Graph Theory,3,1,5,9,0,0,P,,None,Professional,
2024,CS,4,CS2200,"Languages, Machines, and Computations",3,1,0,0,6,10,P,B ,NIL,Professional,
2024,CS,4,CS2600,Computer Organization and Architecture,3,1,0,0,6,10,P,C ,"CS2300, CS2310",Professional,
2024,CS,4,CS2610,Computer Organization and Architecture Lab,0,0,0,3,3,6,P,P ,None,Professional,
2024,CS,4,CS2800,Design and Analysis of Algorithms,3,1,0,0,6,10,P,D ,"CS1100, CS1200, CS2700, CS2710",Professional,
2024,CS,4,CS2810,Object-Oriented Algorithms Implementation and Analysis Lab,1,0,0,2,3,6,P,Q ,CS2700 (Programming and Data Structures); CS2710 (PDS Lab); CS1200 (Discrete Mathematics) and MA2130 (Graph Theory).,Professional,
2024,CS,4,MA/PH/BT,Science Elective 1,3,0,0,0,6,9,S,,None,Science,
2024,CS,5,CS3100,Paradigms of Programming,3,0,0,0,6,9,P,E ,"cs2200, cs2600, cs2610, cs2700, cs2710",Professional,
2024,CS,5,CS3300,Compiler Design,3,0,0,6,6,15,P,B ,None,Professional,
2024,CS,5,CS3500,Operating Systems,3,0,0,6,6,15,P,B ,None,Professional,
2024,CS,8,FE7,Free Elective 7,3,0,0,0,6,9,E,,None,Engineering,
2024,AIDA,1,DA1001,Applied Linear Algebra,3,1,0,0,6,10,S,D1,None,Science,
2024,AIDA,1,DA1000,Calculus for Engineers,3,0,0,0,6,9,S,A1,None,Science,
2024,AIDA,1,DA1300,Programming and Data Structures,3,0,0,0,6,9,C,E1,None,Computing,
2024,AIDA,1,DA1301,Programming Lab,0,0,0,3,3,6,C,Q1,None,Computing,
2024,AIDA,1,DA1200,Basics of Engineering Principles,3,0,0,0,6,9,E,B1,None,Engineering,
2024,AIDA,2,DA1100,Introduction to Computational Chemistry,2,1,0,0,6,9,S,C1,None,Science,
2024,AIDA,2,DA1004,Probability & Statistics for Engineers,3,1,0,0,6,10,S,A ,None,Science,
2024,AIDA,2,DA1002,Optimization for Engineers,3,0,0,0,6,9,E,B1,DA1000 and DA1001,Engineering,
2024,AIDA,2,DA1302,Computational Methods for Data Science,3,1,0,0,6,10,P,E ,DA1000 and DA1001,Professional,
2024,AIDA,2,DA1003,Optimization Lab,0,0,0,3,3,6,E,P1,DA1000 and DA1001,Engineering,
2024,AIDA,3,DA2400,Machine Learning I,3,0,0,0,6,9,P,A ,None,Professional,
2024,AIDA,3,DA2101,Introduction to Computational Physics,2,1,0,0,6,9,S,E ,DA1302,Science,
2024,AIDA,3,DA2102,Introduction to Computational Biology,2,1,0,0,6,9,S,B ,None,Science,
2024,AIDA,3,DA2402,Data Curation and Visualization,3,0,0,0,6,9,P,J ,"DA1004,DA1300,DA1301,  
Basic statistics (mean, median, distributions, correlations); Hands-on with Python programming (basics
of python, numpy, pandas)
Tools: Software: Tableau Public, Jupyter notebook, VScode Python libraries: Pandas, matplotlib, plotly, streamlit",Professional,
2024,AIDA,3,DA2401,Machine Learning Lab,0,0,0,3,3,6,P,T ,None,Professional,
2024,AIDA,4,DA6390,Algorithms for Data Science,3,0,0,0,6,9,P,,None,Professional,
2024,AIDA,4,DAXXXX,Introduction to Computer Systems,2,1,0,0,6,9,P,,None,Professional,
2024,AIDA,4,DAXXXX/PHXXXX,Physics Elective,3,0,0,0,6,9,S,,None,Science,
2024,EE,1,EE1102/EE1103,Introduction to Programming/ Numerical Methods,3,0,0,3,6,12,C,,None,Computing,
2024,EE,1,ME1100,Thermodynamics,3,1,0,0,6,10,E,A ,Nil,Engineering,
2024,EE,2,EE2002,Digital Systems,3,1,0,0,6,10,P,B ,None,Professional,
2024,EE,2,EE2702,Digital Systems Lab,0,0,0,3,2,5,P,P1,None,Professional,
2024,EE,3,EE2015,Electric Circuits & Networks,3,1,0,0,6,10,P,C ,Laplace transforms,Professional,
2024,EE,3,EE2016,Microprocessor Theory + Lab,2,0,0,3,6,11,P,B ,EE2001,Professional,
2024,EE,3,EE2025,Engineering Electromagnetics,3,1,0,0,6,10,P,E ,None,Professional,
2024,EE,3,EE2703,Applied Programming Lab,0,0,0,3,2,5,P,G ,None,Professional,
2024,EE,3,EE2021,Materials Science for Electrical Engineers,3,1,0,0,6,10,S,D ,Basic electromagnetism,Science,
2024,EE,3,MA/EE3110,Maths elective/Probability Foundations for Electrical Engineers,3,0,0,0,6,9,S,,None,Science,
2024,EE,4,EE2007,Analog Systems,3,1,0,0,6,10,P,,None,Professional,
2024,EE,4,EE2707,Analog Systems Lab,0,0,0,3,2,5,P,,None,Professional,
2024,EE,4,EE2004,Digital Signal Processing,3,1,0,0,6,10,P,D ,EE1101 Signals and Systems,Professional,
2024,EE,4,EE2006,Electrical Machines,3,1,0,0,6,10,P,,None,Professional,
2024,EE,4,EE2706,Electrical Machines Lab,0,0,0,3,2,5,P,,None,Professional,
2024,EE,4,EE3001,Solid State Devices,3,1,0,0,6,10,P,C ,None,Professional,
2024,EE,5,EE3004,Control Engg,3,1,0,0,6,10,P,D ,None,Professional,
2024,EE,5,EE3006,Principles of Measurement & Lab,2,0,0,3,3,8,P,F ,NIl,Professional,
2024,EE,5,EE,Stream Elective-1,3,1,0,0,6,10,P,,None,Professional,
2024,ME,3,AM2200,Strength of materials,3,1,0,0,6,10,P,D ,None,Professional,
2024,ME,3,AM2530,Foundations of fluid mechanics,3,1,0,0,6,10,P,C ,AM110,Professional,
2024,ME,3,AM2540,Applied mechanics/ Fluid mechanics lab,0,0,0,3,0,3,P,Q ,None,Professional,
2024,ME,3,MA2020,Differential equations,3,0,0,0,6,9,S,A ,None,Science,
2024,ME,3,ME2201,Kinematics and dynamics of machinery,3,1,0,0,6,10,P,B ,AM1100,Professional,
2024,ME,4,MA,Mathematics elective,3,0,0,0,6,9,S,,None,Science,
2024,ME,4,ME2102,Foundations of Thermal Engineering-1,2,1,0,0,4,7,P,,None,Professional,
2024,ME,4,ME2200,Materials and design,3,1,0,0,6,10,P,E ,None,Professional,
2024,ME,4,ME2302,Manufacturing Technology-I,3,1,0,1,6,11,P,,None,Professional,
2024,ME,4,ME2400,Measurements and instrumentation,3,0,0,2,6,11,P,C ,NIL,Professional,
2024,ME,4,ME3481,Mechanical engineering lab 1,0,0,0,3,0,3,P,P ,None,Professional,
2024,ME,5,ME3101,Heat transfer,3,1,0,0,6,10,P,C ,AM2530,Professional,
2024,ME,5,ME3105,Foundations of Thermal Engg-2,2,1,0,0,4,7,P,,None,Professional,
2024,ME,5,ME3203,Introduction to Machine Design,2,1,1,0,4,8,P,,None,Professional,
2024,ME,5,ME3305,Manufacturing Technology-II,3,1,0,1,6,11,P,,None,Professional,
2024,ME,5,ME3482,Mechanical engineering lab 2,0,0,0,3,0,3,P,P ,None,Professional,
2024,ME,5,ME3283,Computer Aided Machine Drawing,1,0,0,2,3,6,P,,None,Professional,
2024,ME,6,ME3302,Automation in manufacturing,3,1,0,0,6,10,P,A ,None,Professional,
2024,ME,6,ME3484,Mechanical engineering lab 3,0,0,0,3,0,3,P,P ,None,Professional,
2024,ME,6,Professional,elective 1,3,0,0,0,6,9,P,,None,Professional,
2024,ME,6,HS,Humanities elective 2,3,0,0,0,6,9,H,,None,,
2024,ME,6,Free,elective 2,3,0,0,0,6,9,UA,,None,,
2024,MM,1,MM1004,Introduction to Mathematical Computing,0,0,0,3,3,6,P,E1,None,Professional,
2024,MM,1,CY1050,Macromolecules in Engineering Materials,3,0,0,0,6,9,S,A ,COT,Science,
2024,MM,1,MM1002,Structure of Materials,3,0,0,0,6,9,P,D1,None,Professional,
2024,MM,2,MM1003,Thermodynamics of Materials,3,1,0,0,6,10,P,C ,None,Professional,
2024,MM,2,MA2101/MA2102,Linear Algebra via Matrices/Differential Equations,3,0,0,0,6,9,S,,None,Science,
2024,MM,3,MM2010,Principles of Physical Metallurgy,3,0,0,0,6,9,P,C ,None,Professional,
2024,MM,3,MM2XXX,Physical and Mechanical Metallurgy Lab,0,0,0,3,3,6,P,,None,Professional,
2024,MM,3,MM2020,Deformation and Failure of Materials,3,0,0,0,6,9,P,D ,No,Professional,
2024,MM,3,MM2041,Transport Phenomena in Materials,3,1,0,0,6,10,P,B ,No,Professional,
2024,MM,3,Elective,under S category,3,0,0,0,6,9,S,,None,Science,
2024,MM,4,MM2080,Principles of Extractive Metallurgy,3,0,0,0,6,9,P,C ,None,Professional,
2024,MM,4,MM3010,Physics of Materials,3,0,0,0,6,9,P,A ,None,Professional,
2024,MM,4,MM3030,Materials Characterization,3,0,0,0,6,9,P,B ,None,Professional,
2024,MM,4,MM3100,Materials Characterisation Lab,1,0,0,3,2,5,P,P ,None,Professional,
2024,MM,5,MM3330,Non-Metallic Materials,3,0,0,0,6,9,P,B ,None,Professional,
2024,MM,5,MM3090,Environmental Degradation of Materials,3,0,0,0,6,9,P,E ,Nil,Professional,
2024,MM,5,MT4110,Computational Methods in Materials Engg.,0,0,0,0,0,9,C,,None,Computing,
2024,MM,5,MM3110,Computational Materials Engineering Lab,0,0,0,3,2,5,C,S ,None,Computing,
2024,MM,5,MM*****,Electronics and functional materials,3,0,0,0,6,9,P,,None,Professional,
2024,MM,6,MM3XXX,Materials Processing Elective 1 in P category*,3,0,0,0,6,9,P,,None,Professional,
2024,MM,6,MMXXXX,Materials processing Elective 2 in P category*,3,0,0,0,6,9,P,,None,Professional,
2024,MM,7,MM4110,B.Tech Project Phase I#,0,0,3,0,6,9,P,UU,None,Professional,
2024,MM,8,MM4120,B.Tech Project Phase II@,0,0,6,0,12,18,P,UU,None,Professional,
2024,,1,OE1101,Introduction to Naval Architecture & Ocean Engineering,2,0,0,0,4,6,P,C ,None,Professional,
2024,,2,CS1100*,Introduction to Programming,3,0,0,3,6,12,C,,None,Computing,
2024,,2,OE1012,Ship Hydrostatics and Stability,3,1,0,0,6,10,P,A ,None,Professional,
2024,,3,OE2015,Basic Electrical Circuits And Instruments,3,0,0,1,6,10,P,C ,Nil,Professional,
2024,,3,OE1011,Structural mechanics,3,0,0,0,6,9,P,D ,None,Professional,
2024,,3,OE2013,Ship Drawing and Calculations,1,3,0,3,3,10,P,Q ,None,Professional,
2024,,3,OE2044,Ship Hydrodynamics,3,1,0,0,6,10,P,B ,None,Professional,
2024,,4,OE2024,Analysis of Structures,3,1,0,3,3,10,P,C ,nothing,Professional,
2024,,4,OE3035,Motion of Ships & Floating Systems,3,1,0,0,6,10,P,A ,None,Professional,
2024,,4,OE2034,Ship Resistance and Propulsion,3,1,0,1,6,11,P,F ,None,Professional,
2024,,4,OE2054,Ocean Wave Hydrodynamics,3,1,0,0,6,10,P,E ,None,Professional,
2024,,5,OE3015,Ship Structural Analysis,3,1,0,0,6,10,P,B ,None,Professional,
2024,,5,OE3016,Ship Design,3,0,0,1,6,10,P,C ,None,Professional,
2024,,5,OE3017,Dynamics of marine structures,3,0,0,0,6,9,P,,None,Professional,
2024,,5,OE2014,Marine Engineering,3,1,0,0,6,10,P,D ,None,Professional,
2024,,5,OE3190,Design of Ocean Structures,3,0,0,0,6,9,P,E ,Core Course,Professional,
2024,,7,OE3046,Ship Structural Design,3,1,0,0,6,10,P,A ,None,Professional,
2024,,7,OE3036,Maneuvering & Control of Marine Vehicles,3,1,0,0,6,10,P,B ,None,Professional,
2024,EP,1,PH1050,Foundation of Computational Physics,2,0,0,3,4,9,C,F ,None,Computing,
2024,EP,1,PH1080,Thermodynamics & Kinetic Theory,3,1,0,0,6,10,E,E ,None,Engineering,
2024,EP,3,EP2090,EP Lab 1,0,0,0,3,1,4,P,P ,None,Professional,
2024,EP,3,EP2102,Classical Dynamics,3,0,0,0,6,9,P,D ,None,Professional,
2024,EP,3,EP2110,Intro Math Phys.,3,1,0,0,6,10,P,B ,None,Professional,
2024,EP,4,EP2210,Quantum Mechanics,3,0,0,0,6,9,P,B ,None,Professional,
2024,EP,4,EP3190,EP Lab 2,0,0,0,3,1,4,P,P ,None,Professional,
2024,EP,5,EP3110,Electromagnetics and Applications,3,0,0,0,6,9,P,D ,PH1020,Professional,
2024,EP,5,EP3120,Statistical Physics,3,0,0,0,6,9,P,B ,None,Professional,
2024,EP,5,EP3290,EP Lab 3,0,0,0,6,2,8,P,Q ,None,Professional,
2024,EP,5,EP3220,Solid State Physics,3,0,0,0,6,9,P,A ,None,Professional,
2024,EP,5,EP/EE,P. Elec. 1,3,0,0,0,6,9,P,,None,Professional,
2024,EP,7,EP4140,Project * or,3,0,0,0,6,9,P,UU,EP334,Professional,
2024,EP,8,EP4150,Project * or or,3,0,0,0,18,18,P,XX,None,Professional,
2025,AE,1,MA1101*,Calculus,3,1,0,0,6,10,S,B ,None,Science,
2025,AE,1,GN1001,Posh Training I,3,0,0,0,0,0,S,N ,None,Science,
2025,AM,1,AM1010,Introduction to Physiology for Engineers,3,0,0,0,6,9,P,A1,None,Professional,
2025,AM,1,AM1011,Introductory physiology lab,0,0,0,3,2,5,G,R1,None,General,
2025,AM,3,AM2XXX/EE2XXX,Signals and Systems,3,1,0,0,6,10,E,,None,Engineering,
2025,AM,3,AM2XXX,Biomedical Sensors & Measurements,3,0,0,0,6,9,P,,None,Professional,
2025,AM,4,HSXXX,Humanities I,3,0,0,0,0,9,H,,None,,
2025,AM,5,HSXXXX,Humanities II,3,0,0,0,6,9,S,,None,Science,
2025,AM,5,AM3XXX,Foundations of Biomedical Imaging,3,0,0,0,6,9,P,,None,Professional,
2025,AM,5,AM5XXX,Intro to System integration using Microcontrollers,3,0,0,0,6,9,P,,None,Professional,
2025,AM,5,AM5010,Biomechanics,3,0,0,0,6,9,P,D ,COT,Professional,
2025,CS,2,CS1112,Small-Scale Application Development,0,0,0,0,0,12,P,,None,Professional,
2025,CS,2,CS1202,Discrete Mathematics for CS II,3,1,0,0,6,10,S,,None,Science,
2025,CS,6,Engineering,Elective I,3,0,0,0,6,9,E,,None,Engineering,
2025,ME,1,ME1401,Introduction to Computing for Mechanical Engineers,2,0,2,0,8,12,C,F ,None,Computing,
2025,ME,6,ME,Professional Elective 1,3,0,0,0,6,9,P,,None,Professional,
2025,,4,OE2025,Analysis of Structures,3,1,0,3,3,10,P,,None,Professional,
